Unnamed: 0,ID,Training Source,Home Office/Metro Area,Organization Number,Organization,Capability,Function 2,Career Level,Function,Function Name,Title,Training Type,Training Provider,Training Delivery Type,Training Location,Course Name,Course URL / Code,Vendor Name,Conference Name,Course or Event Name,Certification Type,Certification Name,Certification URL,Is there a course with this certification?,Consolidated Course Name,Category,Activity,Support Group,Assigned To,Request Status,Start Date,End Date,Start Mo/Yr,End Mo/Yr,Start FY,End FY,Business Justification,What % of the conference is business development?,Training Hours,Travel Required,Individual Travel Hours,Rqst Tot Labor Hrs,Airfare,Hotel,Per Diem,Other,Estimated Individual Travel,Misc Expenses,Certification Fee,Conference Fee,Course Fee,Catering,Facility Rental,Vendor Charge,Direct Other Expenses,Describe Other Expenses,Direct Expense Impact,Rqst NPR Alloc,Rqst NPR OH,Cancel No Response,Created,Retroactive Start Date,Duplicates,Reporting Status
1,TAS0011246,TAS,Houston GS 1301 Fannin,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,6,TC,Technology Consulting,Conference  -  Technology Consulting  -  Accenture,Conference,Accenture,,"Orlando, FL",,,,Accenture Testing Symposium,,,,,,Accenture Testing Symposium,Should not have been approved,Testing,TAS TC Advanced Tech & Arch Approval Group,,Training Complete,1/17/17 0:00,1/19/17,05_Jan,05_Jan,FY17,FY17,Current project/role,0.0,24.0,Yes,6.0,30.0,450.0,800.0,0.0,150.0,1400.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,1400.0,True,42720.53927,True,NO,3. Complete
2,TAS0015389,TAS,Metro Wash DC Arlington Corp 800 N Glebe,01.01.207.002,TDL Advanced Tech & Arch,AT&A,TDL,8,TD,Technology Delivery,Conference  -  Technology Delivery  -  Vendor,Conference,Vendor,,"Indianapolis, Indiana",,,Association for Computing Machinery,22nd ACM Symposium on Access Control Models and Technologies (SACMAT),,,,,,22nd ACM Symposium on Access Control Models and Technologies (SACMAT),Infrastructure,Conf - ACM Symposium on Access Control Models and Technologies (SACMAT),TAS TDL Advanced Tech & Arch Approval Group,,Approved,6/21/17 0:00,6/23/17,10_Jun,10_Jun,FY17,FY17,Career growth,90.0,24.0,Yes,8.0,32.0,450.0,250.0,30.0,0.0,730.0,0.0,0.0,900,0.0,0,0,0,0,,,0.0,1630.0,True,42836.56924,True,NO,2. Approved
3,TAS0009809,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,6,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom,,AFS Cost Compliance Training,,,,,,,,,AFS Cost Compliance Training,ACN/AFS Curriculum,AFS Cost Compliance,TAS TC Advanced Tech & Arch Approval Group,,Training Complete,10/28/16 0:00,10/28/16,02_Oct,02_Oct,FY17,FY17,Career growth,,8.0,No,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42647.5659,True,NO,3. Complete
4,MyL0038459,MyLearning,,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,,Inclusion & Diversity,Accenture,Classroom,"Dallas - Hilton Anatole, 2201 N Stemmons Fwy,  Dallas, TX 75207",2017 International Women's Day - (A87251),A87251,,,,,,,,2017 International Women's Day - (A87251),I&D,IWD - Intl Women's Day,,,Training Complete,3/10/17 0:00,3/10/17,07_Mar,07_Mar,FY17,FY17,,,8.0,No,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,,,,YES,3. Complete
5,MyL0048790,MyLearning,,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,9,TC,Technology Consulting,,Inclusion & Diversity,Accenture,Classroom,Westin Gateway Arlington,2017 International Women's Day - (A87251),A87251,,,,,,,,2017 International Women's Day - (A87251),I&D,IWD - Intl Women's Day,,,Training Complete,3/10/17 0:00,3/10/17,07_Mar,07_Mar,FY17,FY17,,,8.0,No,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,,,,NO,3. Complete
6,MyL0048810,MyLearning,,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,3,TC,Technology Consulting,,Inclusion & Diversity,Accenture,Classroom,Westin Gateway Arlington,2017 International Women's Day - (A87251),A87251,,,,,,,,2017 International Women's Day - (A87251),I&D,IWD - Intl Women's Day,,,Training Complete,3/10/17 0:00,3/10/17,07_Mar,07_Mar,FY17,FY17,,,8.0,No,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,,,,YES,3. Complete
7,TAS0011137,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.003,TC Analyst Apprentice,Analyst,TC,11,TC,Technology Consulting,Certification  -  Technology Consulting  -  Vendor All Other,Certification,Vendor All Other,Virtual,,,,Self-Study,,,New,CompTIA Security+,https://certification.comptia.org/certifications/security,No,CompTIA Security+,Cert exam,(SECR) Security+,TAS TC Analyst Apprentice Approval Group,,Approved,12/12/16 0:00,4/30/17,04_Dec,08_Apr,FY17,FY17,Current project/role,,20.0,,0.0,20.0,0.0,0.0,0.0,0.0,0.0,31.2,311.0,0,0.0,0,0,0,0,,,0.0,342.2,True,42716.4112,True,NO,
8,TAS0013544,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom - St.Charles,,Technology Curriculum - Delivery Management School - Central,https://mylearning.accenture.com/myl-ui/learner/activitySupDetails?activityId=734111&sessionId=13138,,,,,,,,Technology Curriculum - Delivery Management School - Central,Proj/Pgm Mgmt,Delivery Management School,TAS TC Advanced Tech & Arch Approval Group,,Approved,5/15/17 0:00,5/19/17,09_May,09_May,FY17,FY17,Current project/role,,40.0,Yes,23.0,63.0,0.0,0.0,0.0,810.0,810.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,810.0,True,42798.71284,True,NO,2. Approved
9,TAS0011074,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,6,TC,Technology Consulting,Certification  -  Technology Consulting  -  Accenture,Certification,Accenture,Classroom,,Agile Product Owner,TBD,,,,New,ICAgile Certified Professional ÛÒ Business Value Analysis (ICP-BVA),TBD,Yes,ICAgile Certified Professional ÛÒ Business Value Analysis (ICP-BVA) - Agile Product Owner,Agile,Agile Product Owner (Business Value Analysis),TAS TC Advanced Tech & Arch Approval Group,,Training Complete,12/12/16 0:00,12/13/16,04_Dec,04_Dec,FY17,FY17,Current project/role,,16.0,No,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,0.0,True,42712.41975,True,NO,3. Complete
10,TAS0010975,TAS,Metro Wash DC Arlington GS_800 NGlebe,01.01.206.002,TC Advanced Tech & Arch,AT&A,TC,7,TC,Technology Consulting,Elective Course  -  Technology Consulting  -  Accenture,Elective Course,Accenture,Classroom - St.Charles,,Advanced Technology Architecture School,Z84953,,,,,,,,Advanced Technology Architecture School,Tech Arch,Advanced Tech Arch School,TAS TC Advanced Tech & Arch Approval Group,,Approved,8/21/17 0:00,8/25/17,12_Aug,12_Aug,FY17,FY17,Career growth,,40.0,Yes,6.0,46.0,300.0,0.0,0.0,0.0,300.0,0.0,0.0,0,0.0,0,0,0,0,,,0.0,300.0,True,42706.64863,True,NO,2. Approved
